label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
0	1125 m^3	0.9032	cat	STATISTICS	0.3641	889	volleyball	892 kg/s	819	-333	basketball	0.7636	0.5412	844	1.0514
3	389 m^3	0.039	chicken	Human Computer Interaction	0.8283	1077	motor sports	818 kg/s	1179	694	boxing, motor sports	0.5866	1.1192	689	0.6904
5	563 m^3	0.6389	guinea pig	robotics engineering, games and playable media, electrical engineering, biotechnology	0.6616	512	tennis	6 kg/s	871	515	track & field	0.3106	0.9718	792	0.7444
0	1453 m^3	0.8775	fish	Data Science	1.0713	1386	golf	952 kg/s	418	-367	basketball	1.0931	0.5263	890	1.3606
4	55 m^3	1.0041	bird	Bioengineering, Applied Mathematics	0.6168	530	volleyball	268 kg/s	1398	1350	tennis	0.675	0.1535	489	0.7828
2	1604 m^3	0.0518		Computer Game Design	1.2761	764	baseball	1328 kg/s	399	828	volleyball, running	-0.1073	0.8889	714	1.1923
3	578 m^3	0.582	chicken	Natural Language Processing	0.6377	1158	motor sports	673 kg/s	1049	1175	football, boxing	0.9558	0.7198	491	0.9106
3	330 m^3	0.081	chicken	Natural Language Processing	1.1644	1038	motor sports	1173 kg/s	1242	1315	boxing, motor sports	0.4856	1.3196	798	1.128
1	952 m^3	1.3402	pig	Data Science	0.4244	188	track & field	912 kg/s	1207	952	soccer	0.8577	0.4247	331	0.2746
1	1111 m^3	0.8609	dog	Data Science	-0.2378	1138	boxing	1245 kg/s	1096	896	soccer	1.5039	0.7196	566	0.7336
4	109 m^3	0.9536	reptile	Computer Engineering	0.9315	75	running	478 kg/s	1149	1467	tennis	1.0003	-0.2001	569	0.6775
1	1184 m^3	1.1813	dog	Data Science	0.335	544	boxing	1115 kg/s	1473	719	soccer	0.8057	0.9164	298	-0.3482
0	1029 m^3	0.6972	rabbit	Computational Media, Statistics	0.391	1061	volleyball	1159 kg/s	1255	-34	basketball	0.6839	0.2677	518	1.0769
0	1028 m^3	0.1979	rabbit	Computational Media	0.6575	1326	motor sports	1336 kg/s	645	369	basketball	0.6956	0.1316	401	0.4776
3	381 m^3	-0.0254	chicken	Natural Language Processing	0.9571	1290	motor sports	1089 kg/s	1192	956	motor sports, boxing	1.0788	1.1466	720	0.9621
1	718 m^3	1.0448	pig	Data Science	-0.1062	542	basketball	915 kg/s	450	1027	SOCCER	0.661	0.892	784	-0.0085
1	868 m^3	1.0267	dog	Data Science	0.5216	366	track & field	820 kg/s	757	917	soccer	0.5424	0.5553	543	0.4905
4	62 m^3	1.2272	bird	Bioengineering, Computer Engineering	0.8204	151	motor sports	-136 kg/s	825	737	tennis	0.8823	0.4051	508	0.8054
0	866 m^3	0.7768	fish	Statistics, Computational Media	1.0967	1009	golf	833 kg/s	1099	-318	basketball	0.9327	0.1148	627	1.1609
1	1199 m^3	0.6261	guinea pig	Data Science	0.1257	655	track & field	1119 kg/s	1282	501	soccer	1.3075	0.3533	173	0.1255
3	158 m^3	-0.0484	chicken	Human Computer Interaction	0.2088	816	motor sports	213 kg/s	1133	871	motor sports, football	1.4316	0.849	812	0.8822
2	499 m^3	0.5084	ferret	Computer Game Design	1.006	1168	volleyball	875 kg/s	733	415	volleyball	-0.0181	1.1399	312	1.458
0	998 m^3	0.274	cat	Statistics, Computational Media	0.2781	916	motor sports	808 kg/s	937	-188	basketball	0.7565	0.5773	672	0.719
0	949 m^3	1.095	fish	Computational Media	0.4514	1396	volleyball	899 kg/s	1291	301	basketball	0.7605	0.1142	410	0.9975
3	289 m^3	0.1658	chicken	Human Computer Interaction	1.1425	740	motor sports	1086 kg/s	1310	1486	motor sports, football	1.1426	1.2537	338	1.31
5	339 m^3	0.3883	hamster	Electrical Engineering	1.0703	985	tennis	100 kg/s	1055	881	golf, badminton	0.1037	0.9312	1015	1.2146
5	820 m^3	0.8796	guinea pig	Robotics Engineering, Biotechnology, Games and Playable Media	1.5591	892	tennis	96 kg/s	758	1089	ice hockey	0.3384	0.8563	774	1.5027
1	1211 m^3	0.7262	pig	Data Science	-0.3411	750	ice hockey	886 kg/s	1481	474	soccer	0.8882	0.5256	300	0.191
0	1132 m^3	0.5971	fish	Bioinformatics, Statistics	0.6884	1636	volleyball	936 kg/s	818	421	basketball	0.6231	0.4529	1082	0.9778
0	1150 m^3	0.2388	rabbit	Statistics, Bioinformatics	0.8293	1309	volleyball	1388 kg/s	698	-297	basketball	1.1243	0.2179	506	1.4414
5	442 m^3	0.6517	rat	Biotechnology, Robotics Engineering, Technology and Information Management	NULL	1067	tennis	97 kg/s	854	981	track & field, badminton	0.3275	1.0828	803	0.7446
5	996 m^3	0.5261	hamster	Biotechnology	1.3034	719	boxing	115 kg/s	1018	712	ice hockey, badminton, golf	0.4311	0.5911	709	0.7176
4	134 m^3	0.998	bird	Computer Science, Applied Mathematics	1.2413	295	ice hockey	748 kg/s	1029	1326	tennis	1.0464	-0.0253	708	0.2121
4	-174 m^3	1.0782	reptile	Bioengineering, Computer Engineering, Computer Science	0.401	-269	ice hockey	690 kg/s	1253	805	tennis	1.2088	0.0282	645	0.5822
0	1300 m^3	0.5913	rabbit	Computational Media	0.5475	849	golf	1228 kg/s	1474	253	basketball	0.9222	0.4332	548	1.1799
0	1053 m^3	0.198	cat	Statistics, Computational Media	1.1579	946	golf	1265 kg/s	918	-349	basketball	0.8439	0.3798	732	0.7385
5	616 m^3	0.7695	RAT	Biotechnology	1.1179	1160	football	-5 kg/s	746	1432	badminton, golf, track & field	0.672	1.0815	1196	0.9868
5	443 m^3	0.5655	Rat	Electrical Engineering, Biotechnology	0.7632	1296	running	-97 kg/s	569	1208	track & field	0.4765	0.963	927	1.3244
1	978 m^3	0.9026	dog	Data Science	0.074	655	Track & Field	1270 kg/s	1060	831	soccer	0.97	0.5505	-1	0.4572
3	657 m^3	0.7598	chicken	Natural Language Processing	1.1203	1573	motor sports	1089 kg/s	982	1280	football	0.4216	0.8092	647	1.3351
2	1105 m^3	-0.0476	ferret	Computer Game Design	1.0402	1296	baseball	850 kg/s	680	185	tennis	-0.238	0.7658	951	1.1733
4	407 m^3	0.9005	reptile	Bioengineering, Applied Mathematics, Computer Engineering	0.7212	-210	ice hockey	983 kg/s	1518	656	tennis	0.7296	0.2873	587	0.917
1	578 m^3	1.1293	pig	Data Science	-0.0848	497	boxing	1280 kg/s	859	1184	track & field, golf, ice hockey	1.1905	0.8243	225	0.4406
2	863 m^3	-0.1415	ferret	Data Science	0.9656	1247	badminton	967 kg/s	561	-197	baseball, volleyball	0.0787	1.1856	918	0.8884
0	1102 m^3	0.6728	cat	Computational Media, Bioinformatics	0.7135	1109	volleyball	1554 kg/s	1104	158	basketball	0.7915	0.19	539	0.7693
2	962 m^3	-0.1565	ferret	Computer Game Design	0.8646	1144	badminton	946 kg/s	-84	1135	volleyball	0.1841	0.8462	823	1.405
5	543 m^3	0.758	N/A	Robotics Engineering, Biotechnology	1.6598	1268	tennis	75 kg/s	1062	1454	golf, badminton	-0.0313	1.1121	1000	1.1384
4	87 m^3	0.611	chicken	Computer Engineering, Bioengineering	0.7967	-423	ice hockey	774 kg/s	1186	707	TENNIS	0.9357	-0.3525	791	0.6693
3		0.466	chicken	Human Computer Interaction	0.9517	723	volleyball	838 kg/s	1221	1109	football, boxing	n/a	0.9355	861	1.2309
4	141 m^3	1.0734	bird	Applied Mathematics, Bioengineering	0.7913	240	ice hockey	434 kg/s	812	1020	tennis	1.0216	0.0973	-43	0.8478
2	848 m^3	-0.1049	ferret	Computer Game Design	1.3544	1581	golf	1264 kg/s	448	198	baseball, running	0.2001	0.8878	385	1.059
4	230 m^3	1.3343	bird	Computer Science, Applied Mathematics, Bioengineering	1.1597	501	golf	273 kg/s	974	864	tennis	0.8323	-0.1841	555	0.7262
5	664 m^3	0.835	hamster	Technology and Information Management, Robotics Engineering, Electrical Engineering	1.3445	817	running	-499 kg/s	587	1066	track & field, badminton	0.3335	0.6184	804	1.5269
1	978 m^3	0.8872	dog	Data Science	0.2995	101	basketball	1087 kg/s	1080	542	SOCCER	0.8983	0.6855	245	-0.1277
4	-107 m^3	0.5818	bird	Computer Science	1.0419	18	ice hockey	174 kg/s	1325	814	tennis	0.61	-0.1916	906	0.4862
4	-193 m^3	0.9211	BIRD	Computer Engineering, Applied Mathematics, Bioengineering	0.651	467	ice hockey	308 kg/s	1394	1165	tennis	1.0926	-0.2031	683	0.446
2	1091 m^3	0.187	ferret	Computer Game Design	0.6107	927	baseball	1147 kg/s	575	333	volleyball	-0.2039	1.2787	875	0.7446
3	389 m^3	0.346	chicken	Human Computer Interaction	0.9476	917	motor sports	1268 kg/s	1130	1244	football, boxing	1.4946	1.0506	524	0.4101
1	732 m^3	0.8262	pig	Data Science	-0.3206	508	track & field	812 kg/s	899	933	boxing, football	1.0814	0.6667	643	0.5688
5	838 m^3	0.8784	reptile	Biotechnology, Robotics Engineering, Technology and Information Management	0.6946	996	tennis	-243 kg/s	734	1544	badminton, golf, ice hockey	0.4807	1.1374	1064	1.3074
1	1279 m^3	1.1232	pig	Data Science	0.3427	350	basketball	1036 kg/s	980	1002	soccer	0.7898	0.7487	460	-0.057
3	671 m^3	0.3429	chicken	Human Computer Interaction	0.7947	1201	motor sports	995 kg/s	N/A	1163	football, motor sports	1.1261	0.9673	1264	1.6025
3	370 m^3	0.2376	chicken	Natural Language Processing	1.1955	927	motor sports	1294 kg/s	869	1234	football	1.0454	1.0269	666	1.3383
0	1371 m^3	0.4613	fish	Computational Media, Bioinformatics	0.854	1235	golf	1355 kg/s	749	-442	basketball	0.9551	0.5497	1083	0.7488
3	180 m^3	-0.0212	chicken	Natural Language Processing	1.0362	1010	motor sports	1004 kg/s	837	747	boxing	0.6913	0.7619	801	0.7599
2	1239 m^3	0.1685	ferret	Computer Game Design	0.7417	1102	badminton	893 kg/s	482	123	volleyball, baseball	-0.1363	0.7694	569	0.6936
1	1353 m^3	0.6488	dog	Data Science	-0.0249	659	basketball	1298 kg/s	1098	140	soccer	1.0752	0.5541	382	0.7163
4	-192 m^3	0.8582	chicken	Computer Science	0.9879	66	ice hockey	1085 kg/s	863	768	tennis	1.0409	0.1161	561	0.7965
1	1298 m^3	0.9884	pig	Data Science	0.1461	397	track & field	897 kg/s	975	432	soccer	0.6094	0.5676	158	0.2519
3	24 m^3	0.2467	CHICKEN	Human Computer Interaction	0.5391	1365	motor sports	1281 kg/s	985	882	boxing	0.8911	1.227	885	1.1988
1	841 m^3	0.634	pig	Data Science	0.2327	1180	basketball	873 kg/s	409	951	soccer	0.8034	0.3005	515	0.365
3	444 m^3	0.204	chicken	Human Computer Interaction	1.1075	986	motor sports	580 kg/s	996	1507	boxing	0.9573	0.4671	806	0.8532
4	63 m^3	1.1305	reptile	Applied Mathematics, Computer Engineering	0.9044	-60	ice hockey	843 kg/s	1146	1269	tennis	1.1109	-0.0175	594	0.8693
0	1140 m^3	0.413	fish	Statistics	0.1831	908	golf	717 kg/s	1569	-278	basketball	0.3422	0.3082	668	1.2613
5	557 m^3	0.8981	guinea pig	Robotics Engineering, Games and Playable Media	0.6853	1147	running	687 kg/s	1661	1067	golf	0.9902	0.9609	1286	0.6939
4	201 m^3	0.7699	bird	Bioengineering	0.4359	422	ice hockey	582 kg/s	899	1039	tennis	0.7357	-0.3212	464	0.469
3	238 m^3	0.5265	chicken	Natural Language Processing	1.2721	1017	motor sports	780 kg/s	1274	968	motor sports	1.5242	1.1907	895	0.6132
3	452 m^3	0.1954	chicken	Human Computer Interaction	1.227	1149	motor sports	1176 kg/s	1192	950	football	0.7775	0.8385	743	1.1871
4	348 m^3	0.904	bird	Bioengineering	0.6864	199	ice hockey	948 kg/s	339	1182	tennis	1.2461	0.0556	750	0.789
4	-24 m^3	1.2824	bird	Bioengineering, Computer Engineering, Computer Science	0.6619	-228	ice hockey	263 kg/s	1369	959	tennis	1.5603	-0.0839	706	0.4811
1	640 m^3	0.8486	pig	Data Science	0.4909	789	boxing	-7 kg/s	N/A	1257	soccer	0.8067	0.7435	322	0.3552
2	1032 m^3	0.0286	ferret	Statistics	0.4176	1635	ice hockey	1133 kg/s	-3	318	baseball, volleyball	-0.2293	1.0937	931	0.6578
0	1092 m^3	0.4372	cat	Bioinformatics	0.6569	1353	golf	1087 kg/s	932	-247	basketball	0.9313	0.7599	703	1.4563
0	995 m^3	0.5466	rabbit	Bioinformatics	1.1435	1717	volleyball	949 kg/s	1598	-16	basketball	0.8718	0.2779	217	0.8811
5	979 m^3	1.0057	guinea pig	Biotechnology, Technology and Information Management	1.5696	712	soccer	344 kg/s	1433	1268	ice hockey	0.2993	0.9496	906	1.3422
2	832 m^3	0.1593	ferret	Computer Game Design	0.9667	679	ice hockey	689 kg/s	1068	273	volleyball	0.2304	0.631	1267	0.9911
5		0.557	guinea pig	Electrical Engineering, Technology and Information Management, Robotics Engineering	1.3195	968	golf	97 kg/s	1214	1862	ice hockey, badminton	0.7191	0.9949	648	0.7577
1	877 m^3	0.81	pig	Data Science	0.1726	517	track & field	1102 kg/s	1282	988	soccer	1.2132	0.6991	327	0.0283
1	741 m^3	0.652	pig	Data Science	-0.0047	543	basketball	721 kg/s	849	473	soccer	1.44	0.7958	395	0.1388
1	1067 m^3	0.6593	pig	Data Science	0.3668	793	basketball	630 kg/s	632	544	soccer	0.9528	0.6832	234	0.0019
0	1166 m^3	0.6734	fish	Computational Media, Bioinformatics	0.6358	1237	volleyball	1079 kg/s	897	309	basketball	0.8824	0.0186	402	1.4387
4	-217 m^3	1.0837	BIRD	Applied Mathematics, Computer Science	0.9225	160	ice hockey	592 kg/s	1256	1287	tennis	0.9922	-0.1419	793	0.7142
0	1041 m^3		cat	cOMPUTATIONAL mEDIA	1.0322	1039	Golf	505 kg/s	1150	264	basketball	0.6412	0.2037	601	0.8784
2	1232 m^3	-0.0277	Ferret	Computer Game Design	0.8357	1136	badminton	1110 kg/s	846	625	volleyball, running	-0.3115	0.6023	972	1.3314
2	1054 m^3	0.0277	ferret	Computer Game Design	n/a	941	baseball	908 kg/s	306	205	running, baseball	0.2887	0.4529	986	1.0221
1	1124 m^3	0.895	dog	Data Science	0.0546	605	boxing	1291 kg/s	969	754	soccer	0.7137	0.559	5	-0.0035
3	389 m^3	0.1681	chicken	Human Computer Interaction	1.1027	903	motor sports	1249 kg/s	888	949	N/A	0.7687	1.1221	741	0.9248
2	1153 m^3	0.2688	ferret	Computer Game Design	1.0544	1363	badminton	1038 kg/s	505	633	volleyball, baseball	0.4888	1.0973	923	1.0771
4	255 m^3	1.0853	bird	Computer Science, Applied Mathematics, Bioengineering	1.0568	332	soccer	799 kg/s	1243	998	tennis	0.5941	0.3434	209	1.0663
0	779 m^3	0.6765	rabbit	Bioinformatics	0.1662	1160	golf	1380 kg/s	1261	222	basketball	0.5168	0.5563	1186	0.7729
0	871 m^3	0.2911	dog	Bioinformatics	0.8136	1080	golf	1403 kg/s	938	615	basketball	0.5978	0.2645	505	1.2297
5	1066 m^3	0.637	guinea pig	Electrical Engineering, Biotechnology, Games and Playable Media	1.2379	554	tennis	438 kg/s	985	1014	golf	0.6931	1.152	1106	0.7825
3	241 m^3	0.5058	chicken	Human Computer Interaction	0.9846	851	motor sports	1070 kg/s	698	1304	football	1.662	0.6112	635	0.6348
5	521 m^3	0.9359	guinea pig	Games and Playable Media, Robotics Engineering, Technology and Information Management	1.0808	325	running	129 kg/s	1118	1193	badminton	0.8311	0.5572	915	1.2273
3	296 m^3	0.4508	chicken	Human Computer Interaction	0.7575	1300	motor sports	693 kg/s	697	1613	boxing	1.4884	0.9277	1068	0.9716
4	120 m^3	1.227	bird	Bioengineering, Applied Mathematics	0.8954	213	ice hockey	52 kg/s	900	950	tennis	0.8931	-0.0867	314	0.3658
3	281 m^3	0.3039	chicken	Natural Language Processing	1.3726	1183	motor sports	1163 kg/s	844	1366	football	1.2111	0.8364	1331	0.6766
5	416 m^3	0.4624	rat	Technology and Information Management, Robotics Engineering, Electrical Engineering, Biotechnology	1.064	513	running	324 kg/s	1152	1210	ice hockey, golf	0.9313	1.0364	1144	1.2341
3	444 m^3	0.4679	Chicken	Natural Language Processing	0.4079	973	motor sports	1057 kg/s	406	1178	motor sports, boxing	1.2476	1.1118	430	1.1058
1	950 m^3	0.6388	dog	Data Science	-0.0616	907	basketball	1640 kg/s	1134	999	soccer	1.1067	0.6653	80	0.0542
0	1398 m^3	0.6337	fish	Statistics	0.5012	725	volleyball	750 kg/s	866	-170	basketball	0.7275	-0.1998	689	0.9595
4	108 m^3	1.1873	reptile	Applied Mathematics, Computer Engineering, Computer Science	1.4628	66	ice hockey	475 kg/s	729	959	tennis	0.6568	-0.2149	696	0.5228
1	751 m^3	0.8693	dog	Data Science	-0.2122	621	basketball	1309 kg/s	976	1050	soccer	0.6818	0.6296	-179	-0.0171
4	9 m^3	1.1477	reptile	None	0.8949	-49	ice hockey	520 kg/s	1176	1003	tennis	1.3003	0.2794	725	0.8257
1	740 m^3	0.7974	pig	Data Science	0.4982	501	basketball	903 kg/s	1033	741	soccer	0.5657	0.7952	253	0.221
1	995 m^3	1.2317	dog	Data Science	0.0122	940	track & field	831 kg/s	1223	1131	soccer	0.4629	0.8529	163	-0.207
3	-140 m^3	0.0919	chicken	Natural Language Processing	0.8271	685	baseball	863 kg/s	582	721	motor sports	0.8364	0.8495	668	0.6197
4	-25 m^3	1.2329	bird	Applied Mathematics	0.8666	48	ice hockey	618 kg/s	1242	1122	tennis	0.8567	-0.1171	226	0.7016
0	635 m^3	0.742	cat	Bioinformatics, Statistics	0.5038	978	VOLLEYBALL	882 kg/s	632	-2	basketball	1.533	0.578	829	0.9197
5	376 m^3	0.752	hamster	Technology and Information Management, Robotics Engineering, Biotechnology	1.0008	926	tennis	7 kg/s	945	1397	badminton, track & field, golf	0.3819	1.035	518	1.15
1	818 m^3	1.0117	pig	Data Science	0.388	994	volleyball	1282 kg/s	538	1297	soccer	0.81	0.9988	542	0.0186
0	653 m^3	0.5311	cat	Statistics, Bioinformatics	0.8409	1085	volleyball	933 kg/s	?	8	BASKETBALL	0.9502	0.3027	473	1.1606
1	806 m^3	0.7359	CHICKEN	Data Science	0.2856		track & field	812 kg/s	864	823	soccer	1.106	0.4424	224	0.395
3	282 m^3	0.4303	chicken	Natural Language Processing	1.1172	1446	motor sports	1191 kg/s	999	1027	Football, Boxing	1.164	1.1347	1020	1.1302
4	26 m^3	0.7641	bird	Computer Science	1.012	490	ice hockey	893 kg/s	960	778	tennis	1.0188	-0.0892	608	0.7933
1	1153 m^3	0.9728	dog	Data Science	-0.1758	244	basketball	645 kg/s	1112	806	soccer	1.0051	0.7754	163	?
0	1004 m^3	0.6324	fish	Statistics, Computational Media	0.4589	876	golf	1204 kg/s	1079	-116	tennis	0.9104	0.4173	589	1.1215
5	1157 m^3	1.0079	rat	Biotechnology, Technology and Information Management, Games and Playable Media, Electrical Engineering	1.0572	785	football	-258 kg/s	1414	1030	badminton, ice hockey	1.1352	1.01	1068	0.5218
4	310 m^3	0.8017	bird	Bioengineering, Computer Science	1.3174	366	ice hockey	120 kg/s	623	1598	soccer	0.8529	0.123	727	0.491
2	777 m^3	-0.0435	ferret	Computer Game Design	1.3636	1067	badminton	959 kg/s	641	-55	volleyball	0.4837	0.9233	559	0.6054
0	974 m^3	0.1867	pig	Bioinformatics	1.0999	1193	golf	1221 kg/s	1737	-290	basketball	1.103	0.318	840	0.7713
